label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,A1T0,A3T0,A4T0,A5T0,A5T1,A6T0,blank,blank_20230307115508,blank_20230306132712,blank_20230306165253,blank_20230306201833,blank_20230307140540,blank_20230307143122,O1T0,O1T2,O2T0,O2T1,O2T2,O4T0,O5T0,W1T0,W2T0,W2T1,W3T0,W3T1,W4T0,W4T1,Y1T2,Y2T0,Y4T0,Y4T1,Y5T1
g,769,769,6,263.095581,4.235,0.845299,[M-H]-,,Thiamine,Thiamine,C12H16N4OS,-1.000,6.147658,263.095581,37760.41,28425.39,44061.03,31283.74,39767.18,54063.09,873.42,2341.50,2187.34,824.64,224.05,1024.71,2108.98,24832.57,30332.31,36577.09,8344.76,52341.19,12556.32,25900.31,94579.95,184038.42,158917.06,119654.66,67198.49,70644.80,110004.24,67065.60,189506.98,101913.12,86310.27,66280.72
g,772,772,7,263.095764,8.391,0.806569,[M-H]-,,Thiamine,Thiamine,C12H16N4OS,-1.000,5.451697,263.095764,19195.33,66624.45,32861.25,14204.90,52718.62,45738.33,0.00,242.22,0.00,130.31,164.31,0.00,0.00,37614.72,66237.99,12566.21,39115.00,161165.58,20905.05,38931.19,46290.33,47452.45,39869.18,43622.37,31063.34,22176.24,39993.20,52320.03,41378.76,43413.86,53711.43,21227.40
g,773,773,12,263.097870,9.483,0.830462,[M-H]-,,Thiamine,Thiamine,C12H16N4OS,-1.000,2.551858,263.097870,101876.54,11313.72,4971.29,19009.24,5703.32,15745.59,0.00,190.61,0.00,147.14,0.00,0.00,0.00,19945.12,10437.71,10743.01,5585.61,13432.47,23666.72,21205.41,28610.40,16425.18,50504.83,28364.97,59248.98,15524.42,65998.85,18169.11,22068.56,9468.57,31185.34,25670.32
g,779,779,9,274.129303,11.594,0.607272,[M-H]-,,Glutarylcarnitine,Glutarylcarnitine,C12H21NO6 ,1.636,1.113254,274.129303,1690.53,15688.76,65522.76,10877.98,118306.60,51784.76,208.42,279.54,369.85,230.78,217.90,249.41,462.03,9412.75,13838.44,7155.57,6940.48,34959.65,5405.89,17917.76,800470.25,1255181.00,1243745.62,1077527.38,499688.59,401636.88,1040600.75,271254.62,522352.41,212387.80,254703.88,331701.41
g,786,786,22,303.082916,13.489,0.851402,[M-H]-,,N-acetylaspartylglutamic acid (NAAG),N-acetylaspartylglutamic acid (NAAG),C11H16N2O8,0.289,1.611046,303.082916,10728.37,38747.24,31795.16,28893.92,73621.38,42076.84,0.00,501.48,0.00,0.00,386.05,0.00,0.00,17433.31,30062.61,9989.60,19841.35,44268.50,15720.98,30816.34,103742.73,188541.58,295176.53,211804.77,122098.96,49267.53,214007.23,109703.24,251372.50,91844.18,137931.36,98418.35
g,789,789,21,296.082123,4.841,0.838293,[M-H]-,,5'-Methylthioadenosine,5'-Methylthioadenosine,C11H15N5O3S,0.121,0.515356,296.082123,25344.42,125634.52,133309.64,59758.19,315096.72,156636.08,508.06,293.41,656.47,347.87,401.63,489.46,0.00,102936.84,289755.47,59709.43,1052.93,323020.47,99451.01,97884.55,164170.33,286542.16,387245.84,314717.50,155099.58,99595.66,318317.12,222719.36,604410.88,272849.38,268003.12,205946.31
g,790,790,25,283.068420,7.953,0.847202,[M-H]-,,Xanthosine,Xanthosine,C10H12N4O6,1.047,0.000000,283.068420,33422.61,92686.48,84921.21,78169.43,131634.02,87841.06,0.00,848.49,2223.07,525.90,1260.43,1112.18,689.64,93062.69,191725.38,41759.41,56063.76,232644.45,82528.05,86570.60,157706.64,208288.44,189480.62,431066.59,130930.62,79915.62,250130.31,166764.36,448089.34,163414.11,334201.16,171731.14
g,792,792,22,283.068054,10.897,0.835303,[M-H]-,,Xanthosine,Xanthosine,C10H12N4O6,1.897,1.293719,283.068054,192132.83,352276.16,310678.84,193594.86,420269.03,233223.08,0.00,164.59,0.00,290.87,0.00,176.11,162.18,313898.38,337700.12,133201.88,1670.80,506624.12,204525.05,339800.22,452604.28,846710.06,820068.94,1439747.00,437909.59,298314.72,578784.75,374769.78,1297056.12,588204.19,631318.06,420565.91
g,797,797,5,289.117065,7.052,0.760785,[M-H]-,,Argininosuccinic acid,Argininosuccinic acid,C10H18N4O6,-1.000,5.911081,289.117065,23685.34,87706.04,45830.79,37778.02,48929.98,58144.94,1212.55,162.04,0.00,1494.88,622.07,1935.14,622.52,60877.30,51749.36,30338.45,24904.01,36587.66,37828.35,49458.19,44797.35,94722.15,102791.78,40756.45,36882.65,20324.78,68626.98,66800.54,103564.70,66715.54,62252.39,34370.19
g,801,801,25,289.114868,14.021,0.849548,[M-H]-,,Argininosuccinic acid,Argininosuccinic acid,C10H18N4O6,-1.000,1.688880,289.114868,180439.44,131313.86,89396.25,109784.50,83187.97,119085.34,0.00,616.92,0.00,2251.79,2156.73,4240.94,1369.39,146977.83,117950.79,96830.12,77422.12,172814.47,137575.11,180508.55,44207.48,114747.45,263632.22,107779.54,85652.44,31812.40,85066.31,71983.53,306547.66,113808.55,86986.01,93476.16
g,805,805,4,285.185638,4.269,0.790421,[M-H]-,,Androstenedione,Androstenedione,C19H26O2,-1.000,1.284113,285.185638,109006.78,70937.02,84676.03,63807.31,47493.93,41206.44,6399.49,1260.04,796.95,410.05,299.69,3911.05,1489.34,140968.55,99990.84,111895.38,2528.72,133480.98,114329.68,131880.08,80812.04,106809.10,26152.06,79085.72,46614.62,55777.94,61586.22,26938.05,82576.35,111520.91,102745.70,0.00
g,808,808,32,283.263672,2.355,0.826870,[M-H]-,,C18:0(Stearic acid),C18:0(Stearic acid),C18H36O2,0.085,2.046972,283.263672,151179200.00,154436944.00,124745336.00,273051040.00,142621696.00,216403328.00,110217344.00,50263732.00,85536416.00,58329868.00,53695348.00,112138520.00,103290600.00,427394144.00,141543728.00,510957952.00,27538470.00,139366704.00,545302848.00,593124928.00,340462784.00,231225728.00,157616560.00,273364320.00,98577504.00,441594400.00,81402296.00,107280232.00,246938768.00,248448704.00,85323184.00,171972400.00
g,812,812,20,243.061935,7.503,0.751229,[M-H]-,,Uridine,Uridine,C9H12N2O6,0.073,1.318323,243.061935,662102.88,1398405.38,1411869.38,1128487.62,2223145.25,1325625.50,581.94,1696.76,749.39,1290.21,1539.38,1173.11,1028.92,720415.19,588507.81,433699.50,28405.51,834331.50,415772.78,734078.31,2242380.25,6842978.50,8297385.50,6125146.50,4085112.00,1698028.12,5309740.50,5576454.00,10079501.00,3940061.00,7060942.00,1162003.62
g,813,813,25,243.061951,9.349,0.804302,[M-H]-,,Uridine,Uridine,C9H12N2O6,1.919,1.255546,243.061951,7834385.50,17055232.00,11640765.00,11708181.00,15960267.00,11003095.00,341.54,1513.34,700.20,1360.42,989.09,1243.16,1036.22,11489779.00,12292880.00,7853085.50,9225142.00,26404674.00,10733227.00,13936280.00,20084234.00,27997334.00,28896434.00,28314274.00,13900024.00,10877708.00,18043000.00,16039105.00,44008348.00,22242978.00,17958412.00,9986299.00
g,814,814,0,242.139481,7.049,0.282102,[M-H]-,,Carnitine C5:1,Carnitine C5:1,C12H21NO4,0.661,1.260329,242.139481,1285560.12,2255485.00,2096709.00,1688134.62,2235335.25,2729075.75,9347.28,10775.08,7369.27,10382.29,10195.74,7895.30,8663.73,1348332.50,1698639.00,854774.81,842124.19,6104458.00,1056944.62,1554387.62,7136889.50,11928024.00,13576277.00,10256269.00,5175228.50,4058565.25,12997445.00,3125697.25,6713737.50,3395866.00,4660311.50,2571060.00
g,815,815,5,242.077332,9.384,0.630745,[M-H]-,,Cytidine,Cytidine,C9H13N3O5,0.274,3.781948,242.077332,64084.95,122561.37,92939.78,84670.07,85464.03,87965.02,2616.80,3505.81,2908.99,3328.25,3301.14,3252.92,2951.93,98313.41,54279.84,69384.51,10489.51,57247.27,65916.82,124880.05,48541.42,107041.28,133762.48,98273.50,116449.15,52227.76,91582.98,107065.93,102807.63,87605.96,109671.84,96151.84
g,816,816,32,241.217026,2.406,0.828373,[M-H]-,,C15:0,C15:0,C15H30O2,0.114,1.138634,241.217026,18141144.00,31070560.00,8055137.50,10027072.00,8952155.00,17280866.00,7945761.50,5471628.50,6785077.50,5774035.50,5660326.50,7414077.50,6657364.00,10667984.00,7728301.50,11584144.00,10860407.00,6445882.50,11977277.00,11416235.00,9233986.00,7188853.50,6088778.00,13345189.00,7361113.50,13081936.00,5919860.00,9635081.00,7784276.00,9584816.00,5872954.00,8315626.50
g,817,817,27,241.082764,5.121,0.839833,[M-H]-,,Thymidine,Thymidine,C10H14N2O5,0.149,0.949390,241.082764,2708624.00,8069229.50,11298803.00,4818524.00,9598877.00,14054213.00,13980.44,6972.68,7007.12,10667.80,16206.17,4463.19,2686.92,3101373.75,2568112.00,1482574.88,586714.31,2205021.75,2270479.75,2994423.75,20112610.00,36148864.00,62650652.00,33065514.00,27167166.00,13777708.00,49146572.00,33544006.00,41321124.00,22139518.00,38447440.00,16368088.00
